zipcode,1,2,3,4,5,6,Total_Returns,Bracket_1_Percentage,Bracket_2_Percentage,Bracket_3_Percentage,Bracket_4_Percentage,Bracket_5_Percentage,Bracket_6_Percentage,average
11102,7320.0,4650.0,3240.0,1810.0,2110.0,440.0,19570.0,0.37404190086867656,0.23760858456821665,0.1655595298926929,0.09248850281042412,0.10781808891159939,0.022483392948390392,2.389882473173224
11103,7600.0,5330.0,3960.0,2000.0,2110.0,380.0,21380.0,0.35547240411599623,0.24929840972871842,0.18521983161833488,0.09354536950420954,0.09869036482694106,0.01777362020579981,2.38400374181478
11104,5660.0,3540.0,2540.0,1480.0,1760.0,370.0,15350.0,0.36872964169381106,0.23061889250814332,0.16547231270358306,0.09641693811074918,0.11465798045602606,0.024104234527687295,2.429967426710098
11105,6620.0,4750.0,3460.0,2010.0,2400.0,590.0,19830.0,0.3338376197680282,0.2395360564800807,0.17448310640443773,0.10136157337367625,0.12102874432677761,0.029752899646999495,2.5254664649520926
11106,8070.0,5280.0,3930.0,2130.0,2490.0,470.0,22370.0,0.3607510058113545,0.2360303978542691,0.17568171658471166,0.09521680822530175,0.11130978989718372,0.02101028162717926,2.423334823424229
11201,6280.0,4020.0,3940.0,3210.0,6780.0,6670.0,30900.0,0.20323624595469256,0.13009708737864079,0.12750809061488674,0.10388349514563107,0.21941747572815534,0.21585760517799352,3.6537216828478964
11203,16600.0,10930.0,5260.0,2530.0,2120.0,180.0,37620.0,0.44125465178096757,0.29053694843168526,0.13981924508240298,0.06725146198830409,0.05635300372142477,0.004784688995215311,2.0212652844231793
11204,17000.0,7500.0,3570.0,2030.0,2510.0,790.0,33400.0,0.5089820359281437,0.2245508982035928,0.10688622754491017,0.06077844311377246,0.0751497005988024,0.023652694610778444,2.0395209580838323
11205,7310.0,4240.0,2710.0,1540.0,2100.0,900.0,18800.0,0.38882978723404255,0.225531914893617,0.14414893617021277,0.08191489361702127,0.11170212765957446,0.047872340425531915,2.4457446808510634
11206,18290.0,10180.0,4730.0,1890.0,1610.0,300.0,37000.0,0.4943243243243243,0.27513513513513516,0.12783783783783784,0.05108108108108108,0.04351351351351351,0.008108108108108109,1.8986486486486487
11207,23340.0,11740.0,4750.0,2080.0,1430.0,110.0,43450.0,0.5371691599539701,0.2701956271576525,0.1093210586881473,0.04787111622554661,0.03291139240506329,0.002531645569620253,1.7767548906789414
11208,24530.0,11950.0,4580.0,1740.0,1260.0,60.0,44120.0,0.5559836808703535,0.2708522212148685,0.10380779691749774,0.03943789664551224,0.028558476881233003,0.0013599274705349048,1.717815049864007
11209,11380.0,6540.0,5500.0,3850.0,5430.0,1870.0,34570.0,0.32918715649407,0.18918137113103847,0.1590974833670813,0.1113682383569569,0.1570726063060457,0.05409314434480764,2.7402371998842927
11210,12120.0,7640.0,4160.0,2170.0,2650.0,1150.0,29890.0,0.4054867848778856,0.25560388089662095,0.13917698226831715,0.07259953161592506,0.08865841418534627,0.038474406155904986,2.29876212780194
11211,10710.0,6910.0,4910.0,2960.0,4000.0,1820.0,31310.0,0.3420632385819227,0.22069626317470456,0.15681890769722134,0.09453848610667519,0.12775471095496646,0.05812839348450974,2.6196103481315878
11212,21430.0,10440.0,4180.0,1570.0,1000.0,50.0,38670.0,0.5541763641065426,0.2699767261442979,0.10809412981639514,0.04059994828032066,0.025859839668994054,0.0012929919834497026,1.717869149211275
11213,14240.0,8320.0,3830.0,1630.0,1340.0,270.0,29630.0,0.48059399257509283,0.28079649004387447,0.12926088423894702,0.0550118123523456,0.045224434694566315,0.00911238609517381,1.9308133648329397
11214,19720.0,9220.0,5010.0,2790.0,3190.0,590.0,40520.0,0.4866732477788746,0.22754195459032575,0.1236426456071076,0.0688548864758144,0.07872655478775913,0.01456071076011846,2.069101678183613
11215,6700.0,5570.0,5320.0,3790.0,7000.0,5260.0,33640.0,0.1991676575505351,0.16557669441141498,0.1581450653983353,0.11266349583828775,0.2080856123662307,0.15636147443519618,3.4340071343638527
